ageratum,/FlowersAndStructures/ageratum.jpg,Considerable,Considerable,Spring,Loam
bellflower,/FlowersAndStructures/bellflower.jpg,Considerable,Little,Summer,Loam
daffodil,/FlowersAndStructures/daffodil.jpg,Moderate,Considerable,Spring,Clay
daisy,/FlowersAndStructures/daisy.jpg,Considerable,Moderate,Summer,Loam
iris,/FlowersAndStructures/iris.jpg,Considerable,Moderate,Spring,Clay
lavender,/FlowersAndStructures/lavender.jpg,Considerable,Little,Spring,Clay
marigold,/FlowersAndStructures/marigold.jpg,Moderate,Little,Autumn,Loam
orchid,/FlowersAndStructures/orchid.jpg,Little,Little,Autumn,Loam
oriental lily,/FlowersAndStructures/oriental_lily.jpg,Considerable,Moderate,Summer,Loam
periwinkle,/FlowersAndStructures/periwinkle.jpg,Moderate,Little,Spring,Clay
pink tulip,/FlowersAndStructures/pink_tulip.jpg,Considerable,Moderate,Spring,Loam
rose,/FlowersAndStructures/rose.jpg,Considerable,Considerable,Spring,Loam
shrub,/FlowersAndStructures/shrub.jpg,Little,Little,Autumn,Loam	
rue,/FlowersAndStructures/Rue.jpg,Moderate,Little,Summer,Loam
hollyhock,/FlowersAndStructures/Hollyhock.jpg,Moderate,Considerable,Summer,Loam
geranium,/FlowersAndStructures/Geranium.jpg,Moderate,Moderate,Summer,Loam
cosmo,/FlowersAndStructures/Cosmo.jpg,Considerable,Moderate,Autumn,Clay
chive,/FlowersAndStructures/Chive.jpg,Considerable,Considerable,Spring,Loam
azalea,/FlowersAndStructures/Azalea.jpg,Moderate,Moderate,Summer,Loam
violet,/FlowersAndStructures/Violet.jpg,Considerable,Moderate,Spring,Loam
primrose,/FlowersAndStructures/Primrose.jpg,Moderate,Moderate,Spring,Loam
petunia,/FlowersAndStructures/Petunia.jpg,Considerable,Little,Summer,Loam
pansy,/FlowersAndStructures/Pansy.jpg,Considerable,Little,Spring,Loam
moonflower,/FlowersAndStructures/moonflower.jpg,Considerable,Moderate,Summer,Clay
lily,/FlowersAndStructures/lily.jpg,Considerable,Moderate,Spring,Loam
